genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
OS3		AD	
OS5		AD;AR;AR,AD	
OSC		AR	
OSCS		XLD	
OSFD		AD;AR	
OSMD		AR	
OSMEDA		AD;AR;AR,AD	
OSMEDB		AD;AR;AR,AD	
OSMRB		AD	
OSP		AD	
OSPL		AR	
OST		AR	
OST48		AR	
OSTA		AR	
OSTB		AR	
OSX		AR;XLR	
OTDD		AD	
OTGN		AR	
OTM		AD	
OTS		AD	
OTSC1		AD	
OTSC10		AD	
OTSC3		AD	
OTSC4		AD	
OTSC5		AD	
OTSC7		AD	
OTSC8		AD	
OTUD5		XLR	XL
OTUD6B		AR	AR
OTUD7C		AD	
OTULIN		AD;AR	AR
OVCA1		AR	
OVOL2		AD	AD
OX		AD	
OX40		AR	
OXCT		AR	
OXR1		AR	AR
P		AR	
p101		AR	
P130		AR	
p14		AR	
p150		AR	
P16		AD	
P190		AR	
P200		AD	
P21		XLD	
P2RY5		AR	
P2X2		AD	
P2Y12		AR	
P2Y5		AR	
p34		AD	
P34H		AR	
P35SRJ		AD	
p37		AR	
P3H2		AR	AR
P40PHOX		AR	
P450C11		AD;AR	
P450C17		AR	
P450C2A		AD;AD,Somatic mutation	
P450DB1		AR	
P450PCN3		Multifactorial	
P4HA2		AD	AD
P4HB		AD	AD
p50		AR	
P53		AD;AD,Somatic mutation;Somatic mutation	
P53R2		AD;AR	
P55		AD	
P58		AR	
P5CDH		AR	
P62		AD;AR	
p68		AD	
P79R		AR	
PA		AR	
PAAND		AD;AR	
PAB2		AD	
PABP2		AD	
PAC2		AR	
PACA		AR	
PACD		AD	
PACHD		AD	
PACS2		AD	AD
PACT		AR	
PADMAL		AD	
PAF1		AR	
PAF2		AR;AR,AD	
PAFAD		AD;AR	
PAFAH		AD;AR	
PAFC		AD	
PAGA		AR	
PAGEN1		AD;AR	
PAGEN2		AR	
PAGH2		XL	
PAHX		AR	
PAI1		AR,AD	
PAICS		AR	
PAICSD		AR	
PAINQTL1		AD	
PAK1		AD	AD
PAK2		AD	
PAK65		AD	
PALB		AD	
PALLD		AD	
PALS		AR	
PAM16		AR	AR
PAMDDFS		AR	
PAMP		AR	
PAND1		?AD	
PANK4		AD	AD
PANX1		AD	AD
PAOD2		AR	
PAP1		AD	
PAPA		AD	
PAPA10		AR	
PAPA2		AD	
PAPA5		AR	
PAPA6		AR	
PAPA7		AR	
PAPA8		AR	
PAPA9		AR	
PAPAS		AD	
PAPB		AD	
PAPD1		AR	
PAPLA1		AR	
PAPPA2		AR	
PAPPAS		AD;AR	
PAPPE		AR	
PAPRS		AD	
PAPST1		AR	
PAR1		AR	
PAR2		AD	
PARK1		AD	
PARK13		AR	
PARK14		AR	
PARK15		AR	
PARK17		AD	
PARK18		AD	
PARK19		AR	
PARK2		AR	
PARK20		AR	
PARK21		AD	
PARK22		AD	
PARK23		AR	
PARK24		AD;AR	
PARK4		AD	
PARK5		AD;AR	
PARK6		AR	
PARK8		AD	
PARK9		AR	
PARS		AR	
PASNA		AD;AR	
PAT1A		AR	
PAT2		AD;AR,Digenic recessive	
PATZ2		AR	
PAURT1		AD	
PAX1		AR	AR
PAX6NEB		AD	
PBAM1		AR	
PBAM2		AR	
PBC1		AD	
PBCA		AR	
PBCRA		AD	
PBD10A		AR	
PBD10B		AR	
PBD11A		AR	
PBD11B		AR	
PBD12A		AR	
PBD13A		AR	
PBD1A		AR	
PBD1B		AR	
PBD2A		AR	
PBD2B		AR	
PBD3A		AR	
PBD4A		AR;AR,AD	
PBD5A		AR	
PBD5B		AR	
PBD6A		AR	
PBD6B		AR	
PBD7A		AR	
PBD7B		AR	
PBD8A		AR	
PBD8B		AR	
PBD9B		AR	
PBFE		AD	
PBGD		AD	
PBGS		AR	
PBLT		Multifactorial	
PBMEI		AR	
PBS		AR	
PBT		AD;AD,Isolated cases	
PC1		AD;AR	
PC2		AD	
PC3		AD;AR	
PC3B		AR	
PC4		AD	
PCA1		AD;AR;AR,AD,Multifactorial	
PCAD		AR	
PCAR1		AD;AR,AD	
PCARP		AR	
PCBC		AR	
PCC		AD	
PCD		AR	
PCDH12		AR	AR
PCDH16		AD;AR	
PCDH21		AR	
PCDHGC4		AR	
PCFT		AR	
PCGF2		AD	AD
PCH10		AR	
PCH11		AR	
PCH12		AR	
PCH13		AR	
PCH14		AR	
PCH15		AR	
PCH16		AD,Somatic mutation;AR	
PCH17		AR	
PCH1A		AR	
PCH1B		AR	
PCH1C		AR	
PCH1D		AR	
PCH1E		AR	
PCH1F		AR	
PCH2A		AR	
PCH2B		AR	
PCH2C		AR	
PCH2D		AR	
PCH2E		AR	
PCH2F		AR	
PCH3		AR	
PCH4		AR	
PCH5		AR	
PCH6		AR	
PCH7		AR	
PCH8		AR	
PCH9		AR	
PCHC1		AD	
PCK2		AR	AR
PCKDC		AR	
PCL		AD	
PCLD1		AD	
PCLD2		AD	
PCLD3		AD;AR	
PCLD4		AD;AR;AR,AD	
PCLN1		AR	
PCLO		AR	AR
PCNA		AR	AR
PCNT1		AR	
PCNT2		AR	
PCO		AD	
PCO1		AD	
PCOLN3		AR	
PCOS1		AD	
PCTT		AD;AR,AD	
PCWH		AD	
PCYT1		AR	
PCYT2		AR	AR
PDA1		AR	
PDA2		AD	
PDA3		AD	
PDB2		AD;AR	
PDB3		AD;AR	
PDB4		AD	
PDB4B		AR;AR,AD	
PDB5		AR	
PDB6		AD	
PDC		AD	
PDCD1		Multifactorial	
PDCD6IP		AR	
PDCD8		XLR	
PDCE2		AR	
PDCN		AR	
PDDR		AR	
PDE		AR	
PDE10A		AD;AR	AD;AR
PDE11A1		AD	
PDE11A2		AD	
PDE11A3		AD	
PDE1C		AD	AD
PDE2A		AR	AD
PDE3A		AD	AD
PDE6D		AR	AR
PDEA2		AR	
PDEB		AD;AR	
PDECGF		AR	
PDEG		AR	
PDGB		AD;AR	
PDGFR		AD	
PDHA2		AR	
PDHAD		XLD	
PDHBD		AR	
PDHLD		AR	
PDHXD		AR	
PDIL		AR	
PDJ		AR	
PDK3		XLD	XL
PDLIM4		AD	
PDNP1		AD;AR;AR,AD,Multifactorial	
PDON1		AR	
PDPC		AR	
PDS		AR	
PDS1		AD	
PDXK		AR	AR
PDZD8		AR	
PDZK6		AR	
PE2		AD	
PEAMO		AR	
PEBAS		AR	
PEBAT		AR	
PEBEL		AR	
PEBEL2		AR	
PEBP2A1		AD	
PEBP2B		AD	
PED		AD;AR;AR,AD	
PEDF		AR	
PEE1		AD	
PEE4		AD	
PEGASUS		AD	
PEHO		AR	
PEHOL		AR	
PEK		AR	
PELD		AD;AR	
PEM2		XL	
PEN2		AD	
PENTT		AD	
PEO		AD;AR	
PEO2		AD;AR	
PEO3		AD;AR	
PEOA2		AD;AR	
PEOA3		AD;AR	
PEOA4		AD;AR	
PEOA5		AD;AR	
PEOA6		AD;AR	
PEOB2		AR	
PEOB3		AR	
PEOB4		AR	
PEOB5		AR	
PEP		AD;AR	
PEPCK2		AR	
PEPNS		AD;AR	
PER3		AD	AD
PERCC1		AR	
PERCHING		AD;AR	
PERK		AR	
PERLD1		AR	
PERP		AD;AR	AD
PERRB		AR	
PET100		AR	AR
PET112		AR	
PET117		AR	AR
PET191		AR	
PETA3		AR	
PEX11B		AR	AR
PEX14B		AR	
PEZ		AR	
PF22		AR	
PF6		AR	
PFBI		AR	
PFBMFT1		AD;AD,Somatic mutation;AR,AD	
PFBMFT2		AD	
PFBMFT3		AD;AR,AD	
PFBMFT4		AD;AR	
PFBMFT5		AD	
PFBMFT6		AD	
PFC		XLR	
PFCRD		AD;AR	
PFD		XLR	
PFE		AD;AR	
PFHB1B		AD	
PFHB2		AD	
PFIC1		AD;AR	
PFIC10		AR	
PFIC11		AR	
PFIC12		AR	
PFIC2		AR	
PFIC4		AR	
PFIC5		AR	
PFIC6		AR	
PFIC7		AR	
PFIC8		AR	
PFIC9		AR	
PFITS		AR	
PFM2		AD;AR	
PFM3		AD	
PFMCD		AD	
PFRK		AD;AR,AD	
PGAMM		AR	
PGAR		AD	
PGBM1		AR	
PGDH1		AR	
PGIS		Multifactorial	
PGKA		XLR	
PGL1		AD;AR	
PGL2		AD	
PGL3		AD;AD,Isolated cases	
PGL4		AD;AD,Isolated cases;AR	
PGL5		AD;AR	
PGL6		AD	
PGL7		AD	
PGM2L1		AR	
PGN		AR,AD	
PGR		AR	
PGS		XLR	
PGT		AD;AR	
PGY3		AR;AR,AD	
PH4		AR	
PHA		AD;AR	
PHA1B1		AD;AR	
PHA1B2		AD	
PHA1B3		AD	
PHA2		AD	
PHA2A		AD	
PHA2B		AD	
PHA2C		AD;AR	
PHA2D		AR,AD	
PHA2E		AD	
PHACTR1		AD	AD
PHARC		AR	
PHASK		AD;AR	
PHB1		AD,Somatic mutation	
PHBP		AD	
PHC		AR	
PHC1		AR	AR
PHCA		AR	
PHD2		AD	
PHE1A		XLD	
PHE3		AR	
PHF21A		AD	AD
PHF9		AR	
PHGDHD		AR	
PHHI		AD;AR,AD	
PHID		AR	
PHK		XLR	
PHKD		AD	
PHLL1		AD	
PHLS		AR	
PHLU		AR	
PHN		AR	
PHOAD		AD;AR	
PHOAR1		AR	
PHOAR2		AD;AR	
PHOG		PseudoAD;PseudoAR	
PHOX1		AR,AD	
PHP1A		AD;Somatic mutation	
PHP1B		AD;Somatic mutation	
PHP1C		AD;Somatic mutation	
PHPTC		AD;AR	
PHPVAR		AR	
PHRINL		AR;AR,AD	
PHYKPL		AR	AR
PI		AR	
PI12		AD	
PI4KA		AR	AR
PI4KB		AD	
PI6		AR	
PI8		AR	
PIBF1		AR	AR
PIDX		XLR	
PIERS		AR	
PIG51		AR	
PIG8		AR	
PIGB		AR	AR
PIGC		AR	AR
PIGF		AR	
PIGG		AR	AR
PIGH		AR	AR
PIGK		AR	AR
PIGP		AR	AD;AR
PIGQ		AR	AD;AR
PIGS		AR	AR
PIGU		AR	AD;AR
PIGW		AR	AR
PIGY		AR	AR
PIH1D3		XLR	
PIK3C2A		AR	AR
PIK3CD		AD;AR;Digenic recessive	AD;AR
PIK3CG		AR	
PIK3R2		AD	AD
PIK3R5		AR	AR
PIK4CA		AR	
PIK4CB		AD	
PILBOS		AD	
PINCH2		AR	
PINS		AR	
PIP1		AR,AD	
PIP5K3		AD	
PIP7S		AR	
PISD		AR	AR
PISSLRE		AR	
PIT		AD	
PIT1		AR,AD	
PITA1		AD,Somatic mutation	
PITA2		XL	
PITA3		AD;Somatic mutation	
PITA5		AD;AR;AR,Digenic recessive	
PITRM1		AR	AR
PIX1		AR	
PIX2		AR	
PJS		AD	
PK1		AD;AR	
PK2		AD	
PKAN		AR	
PKBG		AD	
PKC		AD	
PKCC		AD	
PKCG		AD	
PKCL		Multifactorial	
PKD		AD	
PKD1L1		AR	AD;AR
PKD3		AD	
PKD4		AR	
PKD5		AR	
PKD6		AD	
PKD7		AD	
PKDCC		AR	AR
PKDR1		AR	
PKDTS		AD	
PKDYS1		AR	
PKDYS2		AR	
PKDYS3		AR	
PKH		AR	
PKKD		AR	
PKNPY		AD	
PKPS		AR	
PKR2		AD	
PKS		Somatic mosaicism	
PKU1		AR	
PKWS		AD	
PL48		AD;AR	
PLA2B		AD,Somatic mutation	
PLA2G2A		AD,Somatic mutation	AD
PLA2G4		AR	
PLA2G4A		AR	AR
PLA2L		AD,Somatic mutation	
PLAA		AR	AR
PLACK		AR	
PLANH1		AR,AD	
PLAP		AR	
PLAP1		AD	
PLB		AD	
PLC		AR	
PLCA1		AD	
PLCA2		AD	
PLCA3		AR	
PLCB1A		AR	
PLCB1B		AR	
PLCB3		AR	AR
PLCD1		AR,AD	AD;AR
PLCH1		AR	
PLCL3		AR	
PLCZ1		AR	
PLD1		AR	AR
PLDECO		AR	
PLDN		AR	
PLEC1		AD;AR	
PLEKHG2		AR	AR
PLI		AR	
PLIC2		XLD	
PLIN		AD	
PLIP		AD	
PLOSL1		AR	
PLOSL2		AR	
PLS		AR	
PLS1		AD	AD
PLSA		AD	
PLSA1		AD	
PLSJ		AR	
PLSTIRE		AR	
PLTN		AD;AR	
PLU1		AR	
PLVAP		AR	AR
PLXN1		AR	
PLXNA1		AR	
PMCA1		AD	
PMCA2		AD;AR	
PMCA3		XLR	
PMD		XLR	
PME		AR	
PMFBP1		AR	AR
PMGEDSV		AD;AR	
PMGX		XLD	
PMGYCHA		AR	
PMI1		AR	
PMK		AD	
PMLDAR		AD;AR	
PMNDS		AD	
PMP2		AD	AD
PMP35		AR	
PMP69		AR	
PMP70		AR	
PMPCA		AR	AR
PMPCB		AR	AR
PMSCL1		AR	
PMSL2		AR	
PMV		AD	
PMVK		AD	AD
PMX1		AR,AD	
PMX2B		AD	
PN		AR	
PN1		AD;AR	
PNAT1		AR	
PNC2		AR	
PNCA1		AD	
PNCA2		AD;AD,Somatic mutation;AR;AR,AD,Somatic mutation	
PNCA3		AD,Somatic mutation	
PNCA4		AR;Multifactorial,AD	
PNCA5		AD	
PND		AD;AR	
PNDM1		AD;AR	
PNDM2		AD;AR,AD	
PNDM3		AD;AR,AD	
PNDM4		AD;AR,AD	
PNG1		AR	
PNH1		XLR	
PNH2		AD,Somatic mutation;AR	
PNK		AR	
PNKD2		AD	
PNKD3		AD;AR	
PNLDC1		AR	
PNLIP		AR	AR
PNLIPD		AR	
PNMHH		AD	
PNPLA8		AR	AR
PNR		AR;AR,AD	
PNRIID		AR	
PNSED		AR	
PNT5		AR	
PNTSU		AR	
POADS		AR	
POBINDS		AD	
POC1A		AR	AR
POC1B		AR	AD;AR
POF1		XL;XLD	
POF10		AR	
POF11		AD;AD,Somatic mutation;AR	
POF12		AR	
POF13		AR	
POF14		AR	
POF15		AR	
POF16		AD	
POF17		AR	
POF18		AR	
POF19		AR	
POF1B		XLR	
POF20		AR	
POF2A		XLD	
POF2B		XLR	
POF3		AD;AR,AD	
POF4		XL	
POF5		AD	
POF6		AD	
POF7		AD	
POF8		AR	
POF9		AR	
POH		AD;Somatic mutation	
POIKTMP		AD	
POLA1		XLR	XL;XLR
POLG1		AD;AR	
POLGA		AD;AR	
POLGB		AD;AR	
POLR1A		AD	AD;AR
POLR1B		AD	AD
POLR2A		AD	AD
POLR3F		AD	
POLR3GL		AR	
POLR3K		AR	
POLRMT		AR,AD	
POMGNT2		AR	AR
POMK		AR	AR
POP3		AR	
POPDC1		AR	
POPDC3		AR	AR
PORC		XLD	
POROK1		AD	
POROK2		AD	
POROK3		AD;AR	
POROK6		AD	
POROK7		AD	
POROK8		AD	
POROK9		AD	
POTX		AD	
POU3F3		AD	AD
POU4F1		AD	
POU6F2		AD,Somatic mutation	
POVD1		AD	
PP2CM		AR	
PPA2		AR	AR
PPAC		AR	
PPARG1		AD;AR,AD,Multifactorial	
PPARG2		AD;AR,AD,Multifactorial	
PPBL		AD;AR	
PPCD1		AD	
PPCD2		AD	
PPCD3		AD	
PPCD4		AD;AR	
PPCS		AR	AD;AR
PPD1		AR	
PPD2		AD;AR	
PPFIBP1		AR	
PPGB		AR	
PPH1		AD	
PPH2		AD	
PPH3		AD;AR	
PPH4		AD	
PPH5		AR	
PPIP5K2		AR	AR
PPK		AD;AR,Digenic dominant	
PPKB		AD	
PPKN		AR	
PPKNEFD		AD	
PPKP1		AD	
PPKP1A		AD	
PPKP1B		AD	
PPKP3		AD	
PPKS1		AD;AR	
PPKS2		AD;AR	
PPKWH		AR	
PPM2C		AR	
PPMX		XL;XLD;XLR	
PPNAD1		AD	
PPNAD2		AD	
PPNAD3		AD	
PPNAD4		AD	
PPP1CB		AD	AD
PPP1R12A		AD	AD
PPP1R15B		AR	AR
PPP1R17		AR,AD	
PPP1R21		AR	
PPP1R3		AD	
PPP1R3A		AD	
PPP2B		AD	
PPP2CA		AD	AD
PPP2R1A		AD	AD
PPP2R3C		AD;AR	
PPP2R5D		AD	AD
PPP3CA		AD	AD
PPPCD		AD;AR	
PPPD1		AD	
PPR1		AD	
PPRD		AR	
PPROM		AR;Multifactorial	
PPS1		AD	
PPS2		AR	
PR126		AR	
PR46B		AR	
PRAAS1		AR	
PRAAS2		AD;AR	
PRAAS3		AR	
PRAAS4		AR	
PRAAS5		AR	
PRAD1		AD;AD,Somatic mutation;Somatic mutation	
PRAK		AR	
PRAT4A		AR	
PRBNS		AR	
PRCA1		AD	
PRCAD		AR	
PRDC		AD	
PRDM13		AR	AD
PRDM16		AD	AD
PRDM6		AD	AD
PRDX1		AR	
PRDX3		AD;AR	
PREG1		AD	
PREMBL		AR	
PREMBL2		AR	
PREP		AR	
PRES		AR	
PRESO		XL	
PRG2		AR	
PRICKLE3		XLD	
PRIM1		AR	
PRIMPOL		AD	
PRIMS		AD	
PRIP		AD	
PRISM		AD	
PRKACA		AD	
PRKACB		AD,Somatic mosaicism	
PRKACG		AR	AR
PRKAG3		AR	
PRKAR1B		AD	AD
PRKCD		AR	AD
PRKCH		Multifactorial	
PRKCL		Multifactorial	
PRKCM		AD	
PRKCNH1		AR	
PRKD1		AD	AD
PRKG1		AD	AD
PRKG1B		AD	
PRKG2		AR	
PRKGR1B		AD	
PRKGR2		AR	
PRKM1		AD	
PRKMK1		AD	
PRKMK2		AD	
PRKR		AD;AR,AD	
PRKRI		AR	
PRKWNK1		AD;AR	
PRKWNK4		AD	
PRLMNS		AR	
PRLR		AD;AR,AD	AD
PRLTS1		AR	
PRLTS2		AR	
PRLTS3		AR	
PRLTS4		AR	
PRLTS5		AD;AR	
PRLTS6		AR	
PRMT9		AD	AR
PRO1238		AR	
PRO3		AR	
PRODH2		AD;AR	AR
PROHB		AD	
PROML1		AD;AR;AR,AD	
PROMM		AD	
PRORP		AR	
PROSAP2		AD	
PROSC		AR	
PROSIT240		AD	
PRP		AD	
PRP16		AR	
PRP17		AR	
PRP31		AD	
PRP4		AD	
PRP6		AD	
PRP8		AD	
PRPC8		AD	
PRPH		AD;AR,AD;AR,Digenic dominant,AD	AD
PRPK		AR	
PRR1		AR	
PRR12		AD	
PRR4		AR	
PRRX1		AR,AD	AD
PRS		XLR	
PRSA		AR	
PRSM1		AR	
PRSS11		AD;AR	
PRSS15		AR	
PRSS17		AR	
PRSS2		AD	
PRSS25		AR	
PRSS7		AR	
PRTH		AD;AR	
PRTS		XL;XLR	
PRUNE1		AR	AR
PRXI		AR	
PSA		AD	
PSACH		AD	
PSAP2		AD	
PSAPD		AD;AR	
PSAT		AR	
PSATD		AR	
PSCP		AR;Multifactorial,AD	
PSD		AR	
PSD95		AD	
PSDR1		AR	
PSF1		AR	
PSF2		AR	
PSHK2		AD	
PSK2		AD	
PSMB1		AR	
PSMB10		AR	
PSMB4		AR	AR
PSMB9		AR	
PSMC1		AR	
PSMC3		AR	
PSMD12		AD	AD
PSMG2		AR	
PSMNSW		Multifactorial,AD	
PSN		AD	
PSN1		AR	
PSNP2		AD	
PSORP		AR	
PSORS1		Multifactorial	
PSORS13		AR	
PSORS14		AR	
PSORS15		AD	
PSORS2		AD	
PSP		AR	
PSPHD		AR	
PSS		AD	
PSS1		AD;AR	
PSS2		AR	
PSS3		AR	
PSS4		AR	
PSS5		AR	
PSS6		AR	
PSSC		AR	
PSST		AR	
PSTI		AD;AR,AD	
PSTPIP		AD	
PTBHS		AR	
PTC		AD	
PTCD3		AR	AR
PTD		AR	
PTGER2		AR	
PTHB1		AR	
PTHR		AD;AR	
PTHR1		AD;AR	
PTHS		AD	
PTHSL1		AR	
PTHSL2		AR	
PTI		AR	
PTLAH		AD	
PTLS		Isolated cases	
PTMP		AR	
PTOP		AR,AD	
PTORCH1		AR	
PTORCH2		AR	
PTORCH3		AR	
PTOS1		AD	
PTOS2		XLD	
PTOSX		XLD	
PTOV2		AR	
PTP1B		AD	
PTP2C		AD	
PTPGMC1		AD;AR	
PTPLA		AR	
PTPN1		AD	
PTPN22		AD;AR	AR
PTPN23		AR	
PTPN8		AD;AR	
PTPRF		AR	AR
PTRF		AR	
PTRH2		AR	AR
PTS1R		AR	
PTX1		AD	
PULAM		AR	
PUM		AD	
PUR1		AD	
PURH		AR	
PUS3		AR	AR
PUT1		AR	
PV1		AR	
PVHH		AR	
PVNH2		AR	
PVNH6		AD	
PVNH7		AD	
PVNH8		AD	
PVNH9		AD	
PVOD2		AR	
PVOP1		AD	
PVRL1		AR	
PVRL4		AR	
PVRR1		AR	
PWS		AD	
PX1		AD	
PXAAA1		AR;AR,AD	
PXE		AD;AR	
PXF		AR	
PXMP1		AR	
PXMP1L		AR	
PXMP3		AR	
PXN		AR	
PXR1		AR	
PYCS		AD;AR	
PYKL		XLR	
PYL		AR	
PYPAF1		AD	
PYPAF3		AR	
PYPAF7		AD	
PYROXD1		AR	AR
PYST1		AD	
QARS		AR	
QARS1		AR	AR
QIL1		AR	
QIN		AD	
QM		XLR	
QME		AD;AR	
QPC		AR	
QPD		AD	
QRF1		AD	
QRICH1		AD	AD
QRICH2		AR	AR
QRSL1		AR	AR
QRX		AD;AR	
QV		AR	
R1		AD	
RAB11B		AD	AD
RAB3GAP150		AR	
RAB5IF		AR	
RAB6IP1		AR	
RAB6KIFL		AR	
RAB7		AD	
RAB7A		AD	AD
RABGD1A		XLD	
RABL3		AD	AD
RABL4		AR	
RAC1		AD	AD
RAC2		AD;AR	AD;AR
RAC3		AD	AD
RACGAP1		AR	
RAD21		AD;AR	AD
RAD26L		AR	
RAD51		AD;AD,Somatic mutation	AD;AR
RAD53		AD,Somatic mutation	
RAD6A		XLR	
RADMIS		AR	
RAE28		AR	
RAGD		AD	
RAGEF		AD	
RAI		AD;AR	
RAI17		AD	
RAIDD		AR	
RAK		AD	
RALA		AD	AD
RALD		AD	
RALDH2		AR	
RALGAPA1		AR	AD;AR
RALR1		AR	
RAM		AR	
RAMP		AD	
RAMSVPS		AR	
RANBP2		AD	AD
RANBP8		AR	
RANK		AD;AR	
RAPAS		AD	
RAPGEF2		AD	AD
RARB		AR,AD	AD;AR
RARS		AR	
RARS1		AR	AR
RARSL		AR	
RASGRP1		AR	AD
RASK2		AD	
RATARS		AD	
RATOR		AD	
RAUST		AD	
RAXL1		AD;AR	
RBBP2H1A		AR	
RBCC728		AR	
RBED1		AD;AR	
RBFVD		AD	
RBIG1		AR	
RBL2		AR	AR
RBM10		XLR	XL;XLR
RBM12		AD	
RBM8A		AR	AR
RBM8B		AR	
RBMX		XLR	XL
RBMX1A		XL;XLD;XLR	
RBMX1B		XL;XLD;XLR	
RBPJ		AD	AD
RBPSUH		AD	
RBS		AR	
RC14S		Isolated cases	
RC3		AD;AR	
RCAD		AD	
RCBTB1		AR	AD;AR
RCCX1		XL	
RCD1		AD	
RCD2		AD;AR;AR,AD	
RCD3		AR,AD	
RCD3B		AR	
RCD4		AR	
RCDFRD		AD;AR	
RCDP1		AR	
RCDP2		AR	
RCDP3		AR	
RCDP5		AR	
RCGAP1		AR	
RCM1		AD;AR	
RCM3		AD	
RCM4		AD;AR	
RCM5		AD	
RCM6		AR	
RCP		XL;XLR	
RCPS		AR	
RDC1		AR	
RDCCAS		AD;AR	
RDEOA		AR	
RDGCA		AD	
RDH11		AR	AR
RDICC		AD	
RDJCSS		AR	
RDLKD		AR	
RDMS		AR	
RDMVID		AR	
RDOB		AR	
RDP		AD	
RDT		AD	
REC114		AR	
RECA		AD;AD,Somatic mutation	
RECC1		AR	
RECEUP		AD	
RECQ2		AR	
RECQ3		AR	
RECQ4		AR	
RECQL2		AR	
RECQL3		AR	
RED1		AR	
REEP2		AR,AD	AD;sD
REF1		AD	
REL		AR	
RELA		AD	AD
RELB		AR	
RELT		AR	AD;AR
REN64		AR	
RENS1		XLR	
RENT3B		XLR	
REPS1		AR	
REQ		AD	
RERE		AD	AD
RESA1		AR	
RETCOR		AD	
RETN		AD	AD
RFC1		AR	AR
RFH1		AD	
RFMN		AR	
RFT1		AR	AR
RFT2		AR	
RFWD1		AD	
RFWD3		AR	AR
RFX5		AR	AR
RFXDC1		AR	
RG9MTD1		AR	
RG9MTD2		AR	
RGS		AD	
RGS19IP1		AD	
RGS2		AD	
RGS5		Multifactorial	
RH50A		AD;AR	
RHABDO1		AR	
RHBDF2		AD	AD
RHDA1		AR	
RHDA2		AR	
RHDA3		AD	
RHDA4		AR	
RHNR		AD;AR	
RHOBTB2		AD	AD
RHOGAP2		AD	
RHOH		AR	AR
RHPD1		AR	
RHPD2		AR	
RHR		AD	
RHS		AD	
RIA1		AR	
RIC1		AR	AR
RIDL		AR	
RIEG1		AD	
RIEG2		AD	
RIEG3		AD	
RIF1		Digenic recessive	
RIFLE		AR,AD	
RIFTD		AR	
RIG1		AR	
RIGI		AD	
RIL		AD	
RILDBC1		AR	
RILDBC2		AR	
RILP		AR	
RILPL1		AD	
RIM		AD;AR	
RIM1		AD	
RIM2		AR	
RIMS2		AR	AR
RING10		AR	
RING11		AR	
RING12		AR	
RING1B		AD	
RING2		AD	
RING4		AR	
RINT1		AR	AD;AR
RINX		AD	
RIP		AD;AR	
RIP1		AD;AR	
RIP14		AR	
RIP140		AD	
RIP5		AD;AR	
RIPE3B1		AD	
RIPK1		AD;AR	AR
RIPPLY2		AR	AR
RIT		AD	
RJALS		AR	
RL		AD;AR	
RLIM		XL	AD;XL;XLR
RLP1		AD	
RLS1		AD	
RLSDF		AR	
RLTPR		AR	
RMB35A		AR	
RMD1		AD	
RMD2		AD;Digenic dominant,AD	
RMFSL		AR	
RMNS		AD	
RMRPR		AR	
RMS2		AR;Somatic mutation	
RMSE2		AD	
RNASE6PL		AR	
RNASEH1		AR	AD;AR
RNF110		AD	
RNF113A		XL	AR;XL
RNF12		XL	
RNF124		AD	
RNF125		AD	AD
RNF13		AD	AD
RNF168		AR	AR
RNF2		AD	
RNF206		AR	
RNF212		AR	
RNF220		AR	
RNF27		AD	
RNF43		AD	AD
RNHF		AD	
RNHIA		AR	
RNO		AD	
RNPC3		AR	AR
RNS4		AD	
RNU12		AR	
RNU7		AR	
RNU7-1		AR	AR
ROBO4		AD	AD
ROC1		AD	
ROCHIS		AD;AR;Digenic recessive	
ROMK1		AR	
RON		AD	
ROR1		AR	AR
RORA		AD	AD
RORB		AD	AD
RORC		AR	AR
RORG		AR	
ROSAH		AD	
ROSP1		AR,Digenic dominant,AD	
RP10		AD	
RP11		AD	
RP12		AD;AR	
RP13		AD	
RP14		AR	
RP15		XL;XLR	
RP17		AD	
RP18		AD	
RP19		AD;AR	
RP20		AD;AR	
RP23		XLD;XLR	
RP25		AR	
RP26		AR	
RP27		AD	
RP28		AR	
RP29		AR	
RP3		XL;XLR	
RP32		AR	
RP33		AD	
RP35		AR	
RP37		AR;AR,AD	
RP38		AR	
RP39		AR	
RP4		AD;AR,AD	
RP40		AD;AR	
RP41		AD;AR;AR,AD	
RP42		AD;AR	
RP45		AR	
RP46		AR	
RP47		AD;AR	
RP49		AR	
RP50		AD	
RP51		AR	
RP54		AR	
RP55		AR;AR,Digenic recessive	
RP56		AD;AR	
RP57		AR	
RP58		AD;AR	
RP59		AD;AR	
RP6		XL	
RP61		AR	
RP62		AR	
RP63		AD	
RP64		AR	
RP65		AR	
RP66		AR	
RP67		AR	
RP68		AR	
RP69		AR	
RP7		AD;AR,AD;AR,Digenic dominant,AD	
RP70		AD	
RP71		AR	
RP72		AD;AR	
RP73		AR	
RP74		AR	
RP75		AR	
RP76		AR	
RP77		AR	
RP78		AR	
RP79		AD;AR	
RP80		AR	
RP81		AR	
RP83		AD;AR	
RP84		AR	
RP85		AR	
RP86		AR	
RP88		AD;AR	
RP89		AD	
RP9		AD	AD
RP90		AR	
RP91		AD;AR,AD	
RP92		AR	
RP93		AR	
RP94		AR	
RP95		AD;AR	
RP96		AD;AR	
RPA1		AD	
RPA16		AR,AD	
RPA194		AD	
RPA39		AR	
RPA40		AR	
RPA5		AR	
RPAC1		AR	
RPAC2		AR,AD	
